Client,Company_Code,Supplier,Supplier_Name,PAN,Country,WTax_Type,WTx,TAN_Exemption,Recipient_Type,Exemption_Number,Exemption_Percentage,Exemption_From,Exemption_To,Exemption_Reason,Exemption_Threshold,Currency
500,1001,DII00477AA,IPSOS RESEARCH PRIVATE LIMITED,AABCI3609K,IN,JI,J1,,0001,1AD0526TWI,35,2026-05-26,2027-03-31,AL,12400000,INR
500,1081,DIM00398AS,MAHINDRA LOGISTICS LIMITED,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMP,60,2026-04-16,2027-03-31,AL,3423983036,INR
500,1001,DIO00139AA,Om Logistics Supply Chain Private,AAECO4660K,IN,CI,C1,,0001,1AG0426GGL,67.5,2026-04-29,2027-03-31,AL,25569000,INR
500,1001,DIA01168AA,AYANA RENEWABLE POWER PRIVATE,AAPCA2514F,IN,LI,L1,,0001,1NA0526NBS,90,2026-05-15,2027-03-31,AL,4000000,INR
500,1001,DII00204AA,INFRABEAT TECHNOLOGIES,AADCI2231B,IN,JI,J1,,0001,1AH0425EJC,81,2025-04-29,2026-03-31,AL,6000000,INR
500,1001,DIT00472AD,THE AUTOMOTIVE RESEARCH,AAATT1989P,IN,JI,J3,,0001,1AD0526CUH,100,2026-05-19,2027-03-31,AL,350000000,INR
500,1081,DIT00472AD,THE AUTOMOTIVE RESEARCH,AAATT1989P,IN,JI,J3,,0001,1AD0526CVA,100,2026-05-19,2027-03-31,AL,110000000,INR
500,1079,DIT00472AD,THE AUTOMOTIVE RESEARCH,AAATT1989P,IN,JI,J3,,0001,1AD0526CVD,100,2026-05-19,2027-03-31,AL,110000000,INR
500,1081,DIM01158AK,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1081,DIM01158AE,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DIS02332AA,SDB SELECT SERVICES PVT L,AAVCS1072J,IN,CI,C1,,0001,1AA0526VLO,70,2026-05-07,2027-03-31,AL,48214019,INR
500,1001,DII00229AA,INTELIZIGN LIFECYCLE SERV,AAGCI2284M,IN,JI,J1,,0001,1AB0526ELZ,65,2026-05-11,2027-03-31,AL,64860552,INR
